Name,Price,Sold,Rating,Store,Location,Brand,Price_trimmed,price_log,price_yeojohnson,Price_final,Price_scaled,Sold_scaled,Rating_Category,cleaned_name,cleaned_name_tokens,Segment,Segment_Label
adidas Running Duramo 10 Shoes Men Black GW8342,900000,500,4.9,adidas Indonesia,Bekasi,Adidas,900000,13.710151153416941,-0.22022491088942026,-0.22022491088942026,0.43698861268899425,0.04990499049904991,Excellent,adidas running duramo shoes men black gue,"['adidas', 'running', 'duramo', 'shoes', 'men', 'black', 'gue']",5,Adidas Running (Duramo) & Cross-Gender
adidas Lifestyle Cloudfoam Move Sock Shoes Men Black ID6520,900000,8,5.0,adidas Indonesia,Bekasi,Adidas,900000,13.710151153416941,-0.22022491088942026,-0.22022491088942026,0.43698861268899425,0.0007000700070007,Excellent,adidas lifestyle cloudfoam move sock shoes men black id,"['adidas', 'lifestyle', 'cloudfoam', 'move', 'sock', 'shoes', 'men', 'black', 'id']",4,Adidas Lifestyle & Running Pria
adidas Lifestyle GRAND COURT 2.0 SHOES Men White ID2947,1100000,100,4.8,adidas Indonesia,Bekasi,Adidas,1100000,13.910821646859095,4.071633145285884e-05,4.071633145285884e-05,0.4824906382038295,0.009900990099009901,Excellent,adidas lifestyle grand court shoes men white id,"['adidas', 'lifestyle', 'grand', 'court', 'shoes', 'men', 'white', 'id']",4,Adidas Lifestyle & Running Pria
Adidas Adizero Evo SL Black White Men (100% Authentic),3099000,500,5.0,Senikersku,Jakarta Selatan,Adidas,3099000,14.94659035945457,1.4758738587426146,1.4758738587426146,0.7873652486862606,0.04990499049904991,Excellent,adidas adizero evo sl black white men authentic,"['adidas', 'adizero', 'evo', 'sl', 'black', 'white', 'men', 'authentic']",7,"Adidas Adizero (Adios, SL)"
Adidas Samba OG White Gum (100% Authentic),1999000,1000,5.0,Senikersku,Jakarta Selatan,Adidas,1999000,14.508158113732538,0.7740582320310804,0.7740582320310804,0.6423856031725457,0.09990999099909992,Excellent,adidas samba og white gum authentic,"['adidas', 'samba', 'og', 'white', 'gum', 'authentic']",6,Adidas Samba (OG)
Adidas Samba OG Cloud White Core Black,1820000,2000,4.9,Kick Avenue,Jakarta Barat,Adidas,1820000,14.414347608503377,0.6395994988876262,0.6395994988876262,0.6146093914077801,0.19991999199919994,Excellent,adidas samba og cloud white core black,"['adidas', 'samba', 'og', 'cloud', 'white', 'core', 'black']",6,Adidas Samba (OG)
Track Top Adidas Firebird Adicolor Full Tag Wos,325000,250,4.8,KINANTAN DISTRO,Bandung,Adidas,325000,12.691583538230217,-1.0969214951747548,-1.0969214951747548,0.2558824144580798,0.024902490249024904,Excellent,track top adidas firebird adicolor full tag wos,"['track', 'top', 'adidas', 'firebird', 'adicolor', 'full', 'tag', 'wos']",2,"Adidas Casual & Apparel (Neo, Gazelle)"
SEPATU TRAINING PRIA ADIDAS DROPSET 3 TRAINER ID8627 / 20242,2200000,22,4.5,Arkais Official,Semarang,Adidas,2200000,14.603968372873895,0.9168313510774654,0.9168313510774654,0.6718793838756365,0.0021002100210021,Very Good,sepatu training pria adidas dropset trainer id,"['sepatu', 'training', 'pria', 'adidas', 'dropset', 'trainer', 'id']",3,Sneakers Pria (Generik/Cross-brand)
ADIDAS ADIZERO EVO SL BLACK SILVER,550000,50,4.9,OneSneakers2,Jakarta Selatan,Adidas,550000,13.217675375388819,-0.6897976159524863,-0.6897976159524863,0.3399852378254965,0.0049004900490049,Excellent,adidas adizero evo sl black silver,"['adidas', 'adizero', 'evo', 'sl', 'black', 'silver']",7,"Adidas Adizero (Adios, SL)"
adidas Running Response Runner Shoes Unisex Grey IH6102,850000,40,5.0,adidas Indonesia,Bekasi,Adidas,850000,13.652992804936396,-0.27971668043013553,-0.27971668043013553,0.42469892387227365,0.0039003900390039005,Excellent,adidas running response runner shoes unisex grey ih,"['adidas', 'running', 'response', 'runner', 'shoes', 'unisex', 'grey', 'ih']",5,Adidas Running (Duramo) & Cross-Gender
