Product Name,Price,Ratings,Sold,Store,City,Brand,Price_trimmed,price_log,price_yeojohnson,Price_final,Price_scaled,Sold_scaled,Rating_Category,cleaned_name,cleaned_name_tokens,Segment,Segment_Label
adidas Running Duramo 10 Shoes Men Black GW8342,585000,4.9,500,adidas Indonesia,Bekasi,Adidas,585000.0,13.279368835614243,-0.3892620081974305,-0.3892620081974305,0.39093884915583627,0.04990499049904991,Excellent,adidas running duramo shoes men black gue,"['adidas', 'running', 'duramo', 'shoes', 'men', 'black', 'gue']",10,Adidas Running
adidas Running Run Falcon 2.0 Shoes Men Black FY5943,552500,4.8,250,adidas Indonesia,Bekasi,Adidas,552500.0,13.222210522327158,-0.44247770896596933,-0.44247770896596933,0.3804402442272897,0.024902490249024904,Excellent,adidas running run falcon shoes men black fy,"['adidas', 'running', 'run', 'falcon', 'shoes', 'men', 'black', 'fy']",10,Adidas Running
Adidas Adizero Evo SL Black White Men (100% Authentic),3099000,5.0,500,Senikersku,Jakarta Selatan,Adidas,3099000.0,14.94659035945457,1.6270221647103824,1.6270221647103824,0.788719403566105,0.04990499049904991,Excellent,adidas adizero evo sl black white men authentic,"['adidas', 'adizero', 'evo', 'sl', 'black', 'white', 'men', 'authentic']",12,Adidas Adizero
Sepatu Tennis Adidas GameCourt 2 M JS1949 / 20252,899900,4.9,70,Arkais Official,Depok,Adidas,899900.0,13.710040036256004,0.041577109194348184,0.041577109194348184,0.47593650240358026,0.0069006900690069,Excellent,sepatu tennis adidas gamecourt m js,"['sepatu', 'tennis', 'adidas', 'gamecourt', 'm', 'js']",2,Adidas Apparel & Classics
Adidas Samba Og Cloud White Black,765000,5.0,3000,807GARAGE,Jakarta Pusat,Adidas,765000.0,13.547632419997361,-0.12728723021587127,-0.12728723021587127,0.4426222744523439,0.29992999299929995,Excellent,adidas samba og cloud white black,"['adidas', 'samba', 'og', 'cloud', 'white', 'black']",6,Adidas Samba
Sepatu Lari Pria ADIDAS GALAXY 7 ID8752 ORIGINAL,810000,5.0,29,SNEAKERS DEPT,Bekasi,Adidas,810000.0,13.60479076121576,-0.06876743083668958,-0.06876743083668958,0.4541672930334588,0.0028002800280028006,Excellent,sepatu lari pria adidas galaxy id original,"['sepatu', 'lari', 'pria', 'adidas', 'galaxy', 'id', 'original']",5,Sepatu Lari (Generik)
Sepatu Lari Pria ADIDAS DURAMO SL IE4034 ORIGINAL,1999000,5.0,40,SNEAKERS DEPT,Bekasi,Adidas,1999000.0,14.508158113732538,0.9984108580597192,0.9984108580597192,0.6647044668682426,0.0039003900390039005,Excellent,sepatu lari pria adidas duramo sl ie original,"['sepatu', 'lari', 'pria', 'adidas', 'duramo', 'sl', 'ie', 'original']",5,Sepatu Lari (Generik)
Sweater Casual Adidas Garis 3 Trefoil Crewneck Adidas Style Original Full Tag Label,1430000,4.9,26,EleleStore,Bandung,Adidas,1430000.0,14.173185701536545,0.5695343291115883,0.5695343291115883,0.5800940008680519,0.0025002500250025004,Excellent,sweater casual adidas garis trefoil crewneck adidas style original full tag label,"['sweater', 'casual', 'adidas', 'garis', 'trefoil', 'crewneck', 'adidas', 'style', 'original', 'full', 'tag', 'label']",2,Adidas Apparel & Classics
adidas Skateboarding & Lifestyle Daily 3.0 Shoes Men Green HP6029,715000,4.9,100,adidas Indonesia,Bekasi,Adidas,715000.0,13.480039220276565,-0.19524186858036416,-0.19524186858036416,0.4292159133418492,0.009900990099009901,Excellent,adidas skateboarding lifestyle daily shoes men green hp,"['adidas', 'skateboarding', 'lifestyle', 'daily', 'shoes', 'men', 'green', 'hp']",10,Adidas Running
Adidas Samba OG Sumatra Island Series Maroon Gum (100% Authentic),285000,5.0,100,Senikersku,Jakarta Selatan,Adidas,285000.0,12.560247968016562,-0.9982193634104332,-0.9982193634104332,0.2708013221030391,0.009900990099009901,Excellent,adidas samba og sumatra island rias maroon gum authentic,"['adidas', 'samba', 'og', 'sumatra', 'island', 'rias', 'maroon', 'gum', 'authentic']",6,Adidas Samba
ADIDAS ADIZERO EVO SL BLACK SILVER,199000,4.9,40,OneSneakers2,Jakarta Selatan,Adidas,199000.0,12.201065128819632,-1.2577202282331135,-1.2577202282331135,0.21960596022592654,0.0039003900390039005,Excellent,adidas adizero evo sl black silver,"['adidas', 'adizero', 'evo', 'sl', 'black', 'silver']",12,Adidas Adizero
Track Top Adidas Firebird Adicolor Full Tag Wos,135000,4.8,250,KINANTAN DISTRO,Bandung,Adidas,135000.0,11.813037464800539,-1.5091095230206477,-1.5091095230206477,0.17001088112099133,0.024902490249024904,Excellent,track top adidas firebird adicolor full tag wos,"['track', 'top', 'adidas', 'firebird', 'adicolor', 'full', 'tag', 'wos']",2,Adidas Apparel & Classics
ADIDAS LIVERPOOL GREEN YELLOW ORIGINAL AUTHENTIC,550000,5.0,14,FlasHype,Tangerang Selatan,Adidas,550000.0,13.217675375388819,-0.44666213055261184,-0.44666213055261184,0.37961472490764914,0.0013001300130013002,Excellent,adidas liverpool green yellow original authentic,"['adidas', 'liverpool', 'green', 'yellow', 'original', 'authentic']",2,Adidas Apparel & Classics
